,escuela,sexo,edad,entorno,TamFam,EstPadres,PMedu,Mtrab,Ptrab,razon,tutor,TiempoViaje,TiempoEstudio,suspensos,apoyo,ApFam,academia,extras,enfermeria,EstSup,internet,pareja,RelFam,TiempoLib,SalAm,Alc,salud,faltas,asignatura,T1,T2,T3
0,IC,M,19,U,>=4,J,1.5,casa,otros,optativas,otros,2,1.0,3,no,no,no,si,no,no,si,si,4.0,4,3,2,5,0,L,8,9,9
1,BG,F,18,U,>=4,J,4.0,sanidad,sanidad,reputacion,padre,1,2.0,1,si,si,no,si,si,si,si,si,2.0,4,4,1,4,15,M,9,8,8
2,BG,F,16,R,>=4,J,4.0,sanidad,docencia,otros,madre,1,2.0,0,no,si,no,si,si,si,no,no,2.0,4,4,2,4,0,L,17,16,16
3,BG,F,16,U,<4,J,3.5,docencia,servicios,optativas,madre,3,2.0,0,no,si,no,si,si,si,si,no,5.0,4,3,1,1,2,L,16,15,16
4,BG,M,18,U,<4,J,3.0,servicios,sanidad,cercania,padre,1,2.0,1,no,si,si,no,si,si,si,no,3.0,2,4,3,4,13,M,6,6,8
5,BG,M,18,U,>=4,J,1.5,casa,otros,cercania,otros,2,1.0,0,no,no,no,no,no,no,si,no,3.0,4,4,3,4,10,L,10,10,11
6,IC,M,15,U,<4,S,1.5,servicios,servicios,optativas,madre,1,1.0,0,no,no,no,si,si,si,si,no,4.0,3,3,1,5,11,L,12,13,12
7,BG,F,16,R,>=4,J,3.0,servicios,otros,reputacion,padre,1,3.0,0,si,si,no,si,si,si,si,no,4.0,1,2,1,2,4,L,11,11,11
8,BG,F,18,U,>=4,J,2.5,casa,otros,optativas,madre,1,3.0,0,no,si,no,no,si,si,si,no,4.0,3,3,1,3,4,M,11,10,10
9,BG,F,17,R,>=4,J,1.5,casa,servicios,reputacion,madre,2,2.0,0,no,si,no,si,si,si,si,no,4.0,2,5,1,5,0,L,11,10,11
10,BG,F,18,U,>=4,J,3.5,servicios,otros,cercania,padre,1,2.0,0,no,si,no,no,si,si,si,si,3.0,1,2,2,2,2,L,15,15,15
11,BG,M,15,U,>=4,J,3.5,docencia,servicios,optativas,padre,2,4.0,0,si,si,no,no,si,si,si,no,2.0,2,2,1,3,6,L,9,11,11
12,BG,F,17,U,>=4,J,4.0,docencia,servicios,optativas,madre,1,2.0,0,no,si,si,no,si,si,si,si,5.0,3,1,2,5,2,L,11,11,12
13,BG,M,16,U,>=4,J,0.5,otros,otros,reputacion,madre,2,2.0,0,no,si,si,si,si,si,si,si,4.0,3,2,1,3,2,M,13,15,16
